source_id,decision,region,subregion,reason
S-031,processed-in-ctxdb03-v001,CTXDB03,CTXDB03A,"SaveChanges lifecycle/interceptors, generated values, intermediate flushes for generated IDs, provider vs database generation."
S-032,processed-in-ctxdb03-v001,CTXDB03,CTXDB03A,"SaveChanges lifecycle/interceptors, generated values, intermediate flushes for generated IDs, provider vs database generation."
S-036,processed-in-ctxdb03-v001,CTXDB03,CTXDB03A,"SaveChanges lifecycle/interceptors, generated values, intermediate flushes for generated IDs, provider vs database generation."
S-037,processed-in-ctxdb03-v001,CTXDB03,CTXDB03A,"SaveChanges lifecycle/interceptors, generated values, intermediate flushes for generated IDs, provider vs database generation."
S-040,processed-in-ctxdb03-v001,CTXDB03,CTXDB03A,"SaveChanges lifecycle/interceptors, generated values, intermediate flushes for generated IDs, provider vs database generation."
S-042,processed-in-ctxdb03-v001,CTXDB03,CTXDB03A,"SaveChanges lifecycle/interceptors, generated values, intermediate flushes for generated IDs, provider vs database generation."
S-045,processed-in-ctxdb03-v001,CTXDB03,CTXDB03A,"SaveChanges lifecycle/interceptors, generated values, intermediate flushes for generated IDs, provider vs database generation."
S-050,processed-in-ctxdb03-v001,CTXDB03,CTXDB03A,"SaveChanges lifecycle/interceptors, generated values, intermediate flushes for generated IDs, provider vs database generation."
S-053,processed-in-ctxdb03-v001,CTXDB03,CTXDB03A,"SaveChanges lifecycle/interceptors, generated values, intermediate flushes for generated IDs, provider vs database generation."
S-054,processed-in-ctxdb03-v001,CTXDB03,CTXDB03A,"SaveChanges lifecycle/interceptors, generated values, intermediate flushes for generated IDs, provider vs database generation."
S-055,processed-in-ctxdb03-v001,CTXDB03,CTXDB03A,"SaveChanges lifecycle/interceptors, generated values, intermediate flushes for generated IDs, provider vs database generation."
S-057,processed-in-ctxdb03-v001,CTXDB03,CTXDB03A,"SaveChanges lifecycle/interceptors, generated values, intermediate flushes for generated IDs, provider vs database generation."
S-061,processed-in-ctxdb03-v001,CTXDB03,CTXDB03A,"SaveChanges lifecycle/interceptors, generated values, intermediate flushes for generated IDs, provider vs database generation."
S-062,processed-in-ctxdb03-v001,CTXDB03,CTXDB03A,"SaveChanges lifecycle/interceptors, generated values, intermediate flushes for generated IDs, provider vs database generation."
S-064,processed-in-ctxdb03-v001,CTXDB03,CTXDB03A,"SaveChanges lifecycle/interceptors, generated values, intermediate flushes for generated IDs, provider vs database generation."
S-066,processed-in-ctxdb03-v001,CTXDB03,CTXDB03A,"SaveChanges lifecycle/interceptors, generated values, intermediate flushes for generated IDs, provider vs database generation."
S-067,processed-in-ctxdb03-v001,CTXDB03,CTXDB03A,"SaveChanges lifecycle/interceptors, generated values, intermediate flushes for generated IDs, provider vs database generation."
S-068,processed-in-ctxdb03-v001,CTXDB03,CTXDB03A,"SaveChanges lifecycle/interceptors, generated values, intermediate flushes for generated IDs, provider vs database generation."
S-071,processed-in-ctxdb03-v001,CTXDB03,CTXDB03A,"SaveChanges lifecycle/interceptors, generated values, intermediate flushes for generated IDs, provider vs database generation."
S-072,processed-in-ctxdb03-v001,CTXDB03,CTXDB03A,"SaveChanges lifecycle/interceptors, generated values, intermediate flushes for generated IDs, provider vs database generation."
S-073,processed-in-ctxdb03-v001,CTXDB03,CTXDB03A,"SaveChanges lifecycle/interceptors, generated values, intermediate flushes for generated IDs, provider vs database generation."
S-076,processed-in-ctxdb03-v001,CTXDB03,CTXDB03A,"SaveChanges lifecycle/interceptors, generated values, intermediate flushes for generated IDs, provider vs database generation."
S-077,processed-in-ctxdb03-v001,CTXDB03,CTXDB03A,"SaveChanges lifecycle/interceptors, generated values, intermediate flushes for generated IDs, provider vs database generation."
S-078,processed-in-ctxdb03-v001,CTXDB03,CTXDB03A,"SaveChanges lifecycle/interceptors, generated values, intermediate flushes for generated IDs, provider vs database generation."
S-079,processed-in-ctxdb03-v001,CTXDB03,CTXDB03A,"SaveChanges lifecycle/interceptors, generated values, intermediate flushes for generated IDs, provider vs database generation."
S-081,processed-in-ctxdb03-v001,CTXDB03,CTXDB03A,"SaveChanges lifecycle/interceptors, generated values, intermediate flushes for generated IDs, provider vs database generation."
S-084,processed-in-ctxdb03-v001,CTXDB03,CTXDB03B,"Batching and import performance, chunked SaveChanges, ChangeTracker.Clear, short-lived DbContext, manual savepoints."
S-085,processed-in-ctxdb03-v001,CTXDB03,CTXDB03B,"Batching and import performance, chunked SaveChanges, ChangeTracker.Clear, short-lived DbContext, manual savepoints."
S-086,processed-in-ctxdb03-v001,CTXDB03,CTXDB03B,"Batching and import performance, chunked SaveChanges, ChangeTracker.Clear, short-lived DbContext, manual savepoints."
S-087,processed-in-ctxdb03-v001,CTXDB03,CTXDB03B,"Batching and import performance, chunked SaveChanges, ChangeTracker.Clear, short-lived DbContext, manual savepoints."
S-088,processed-in-ctxdb03-v001,CTXDB03,CTXDB03B,"Batching and import performance, chunked SaveChanges, ChangeTracker.Clear, short-lived DbContext, manual savepoints."
S-089,processed-in-ctxdb03-v001,CTXDB03,CTXDB03B,"Batching and import performance, chunked SaveChanges, ChangeTracker.Clear, short-lived DbContext, manual savepoints."
