id,text,x,y,transform
T-001,"sending from autogenerated hidden input,",0,53.447351257324186,
T-002,without injecting,0,129.2807100219726,
T-003,basics,0,156.0170909090908,
T-004,"using ajax, manually",0,83.40133333333338,
T-005,"WHY DO THEY HELP, EXAMPLE FLOW",0,70.5439635715978,
T-006,new cookie token,0,46.7517189941406,
T-007,old request token issue,0,113.08503198242182,
T-008,careful with csrf token refetch,0,85.35912425537113,
T-009,need strong cors,0,206.47025401611336,
T-010,+ better to avoid implicit auto refetch,0,327.5813837768556,
T-011,may add origin check inside refresh endpint but it usually not needed,0,17.619999999999997,
T-012,but may add as last stand,0,42.62,
T-013,what if we have antiforgery cookie already ?,0,100.31652759765626,
T-015,cross tab antiforgery failure,0,384.9831779882813,
T-016,refetch strategies,0,17.619999999999997,
T-017,1 need refetch from your client to token endpoint,0,42.62,
T-018,on page refresh for sure,0,67.62,
T-019,"2 may need refetch before some writes, before some really important",0,92.62,
T-020,and rare writes,0,117.62,
T-021,3 refetch on null token or,0,142.62,
T-023,invalid result of token validation for,0,192.62,
T-024,multiple tabs issue or something else,0,217.62,
T-025,but,0,242.62,
T-026,"need to do this through client, no",0,267.62,
T-027,implicit server flows that allow crossite fetcher to fetch valid token,0,292.62,
T-028,even if he cant read it because of cors,0,317.62,
T-029,why,0,17.619999999999997,
T-030,so to differenciate,0,17.619999999999997,
T-031,this error we may,0,42.62,
T-032,need to custom behavior?,0,67.62,
T-033,!!!,0,90.91919999999996,
T-034,of what type of filter,0,61.28995234949378,
T-035,validateantiforgerytoken atrr is,0,148.25072469554058,
T-036,alwats run result filter,0,76.82319999999999,
T-037,why we cant use exc filters,0,45.81200000000001,
T-038,to catch exceptions from auth filters,0,110.81200000000003,
T-039,exception middleware can,0,17.619999999999997,
T-040,AutoValidateAntiforgeryToken vs ValidateAntiForgeryToken,0,32.8003076923073,
T-041,thats why its a filter factory,0,17.619999999999997,
T-042,request antiforgery and,0,95.33196830674014,
T-043,current user context,0,230.5929903083578,
T-044,why fetch after login/logout,0,49.79398597958883,
T-045,how to know that its a,0,58.10416573323051,
T-046,csrf token problem with 400 code?,0,140.54480950909672,
T-047,best,0,61.548456473282684,
T-048,always run result filter,0,148.87600538543177,
T-049,check response result type,0,236.20355429758087,
T-050,manual csrf validation,0,70.4149540249993,
T-051,csrf tokens fetch,0,116.29200000000009,
T-052,tacticas,0,281.2920000000002,
T-053,!!!!,0,115.03349075950531,
