source_id,image_use_id,fileId_short,x,y,width,height,candidate_group,boundary_decision,nearest_labels_for_search_only,review_note
S-123,IU-123,89aca4f37a,11718.502,11147.546,659,429,r08a-queryclient-methods-filters-core,candidate-not-final,L-043: QUERY FILTERS | L-044: METHODS OF QC | L-041: QUERYCLIENT,"Candidate for first R08 transcript pass: QueryClient basics, QueryFilters, invalidate/set/get/remove/prefetch/refetch basics."
S-124,IU-124,4f1b873c49,10541.653,11173.512,980,386,r08a-queryclient-methods-filters-core,candidate-not-final,L-041: QUERYCLIENT | L-043: QUERY FILTERS | L-044: METHODS OF QC,"Candidate for first R08 transcript pass: QueryClient basics, QueryFilters, invalidate/set/get/remove/prefetch/refetch basics."
S-125,IU-125,730d9b1236,12525.751,11211.192,870,195,r08a-queryclient-methods-filters-core,candidate-not-final,L-044: METHODS OF QC | L-046: get queries | L-043: QUERY FILTERS,"Candidate for first R08 transcript pass: QueryClient basics, QueryFilters, invalidate/set/get/remove/prefetch/refetch basics."
S-127,IU-127,78a5bec30e,15928.037,11216.646,895,437,r08c-queryclient-outside-react-and-shape-discipline,candidate-not-final,L-042: QC OUTSIDE REACT | L-040: setqueriesdata olddatashape | L-050: may try to design some abstractions that will ensure that some keys have some specific form,"Candidate for later R08 pass: QueryClient outside React, setQueriesData oldData shape, centralized keys."
S-129,IU-129,fc2d174df6,13887.652,11356.605,856,417,r08b-refetch-cancel-options-and-cache-helpers,candidate-not-final,L-046: get queries | L-053: refetch type VS filters type of invalidate queries | L-042: QC OUTSIDE REACT,"Candidate for later R08 pass: refetch filters, cancel options, optimistic update helpers, getQueryCache/getMutationCache."
S-133,IU-133,0a41cac8a5,18670.584,11427.712,945,445,r08c-queryclient-outside-react-and-shape-discipline,candidate-not-final,L-050: may try to design some abstractions that will ensure that some keys have some specific form | L-040: setqueriesdata olddatashape | L-042: QC OUTSIDE REACT,"Candidate for later R08 pass: QueryClient outside React, setQueriesData oldData shape, centralized keys."
S-134,IU-134,30bdec4695,12517.628,11435.105,932,464,r08b-refetch-cancel-options-and-cache-helpers,candidate-not-final,L-044: METHODS OF QC | L-046: get queries | L-053: refetch type VS filters type of invalidate queries,"Candidate for later R08 pass: refetch filters, cancel options, optimistic update helpers, getQueryCache/getMutationCache."
S-135,IU-135,471c964d3b,17930.932,11464.957,662,463,r08c-queryclient-outside-react-and-shape-discipline,candidate-not-final,L-050: may try to design some abstractions that will ensure that some keys have some specific form | L-040: setqueriesdata olddatashape | L-042: QC OUTSIDE REACT,"Candidate for later R08 pass: QueryClient outside React, setQueriesData oldData shape, centralized keys."
S-138,IU-138,01111ee2eb,10535.335,11581.588,869,205,r08a-queryclient-methods-filters-core,candidate-not-final,L-041: QUERYCLIENT | L-043: QUERY FILTERS | L-044: METHODS OF QC,"Candidate for first R08 transcript pass: QueryClient basics, QueryFilters, invalidate/set/get/remove/prefetch/refetch basics."
S-139,IU-139,c3f45a9f79,11644.558,11591.343,798,454,r08a-queryclient-methods-filters-core,candidate-not-final,L-043: QUERY FILTERS | L-044: METHODS OF QC | L-041: QUERYCLIENT,"Candidate for first R08 transcript pass: QueryClient basics, QueryFilters, invalidate/set/get/remove/prefetch/refetch basics."
