label_id,text,candidate_region,final_region,status,transcript_file,open_issue
T-015,customobjectpool,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-016,createstringbuilderpool,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-021,when may need not default provider,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-022,(almost never),R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-023,do i need to register policies?,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-024,options for object poolprovider,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-025,"usage,default,not default,what to",R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-026,register,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-027,why register a policy,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-028,1,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-029,3 register the pool itself,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-030,1 create everything manually,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-005,OBJECTPOOL,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-006,ARRAYPOOL,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-007,TEMP ARRAY IS BEING CREATED,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-008,"FOR EACH REQUEST, LIKE BUFFER",R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-009,NO PARALLEL PROCESSING SO,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-010,THE CALLING METHOD CAN RETURN IT TO POOL,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-011,BY ITSLEF,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-012,BUFFER IS VERY FREQUESNT AND NOT TINY,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-013,!!!,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-014,AVOID MESSY ARGS,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-017,what do you gain,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-018,what objects good for pooling,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-019,"basics,",R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-020,provider.create,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-001,LIKE ARRAYPOOL BUT WITH POSSIBILITY TO TRANSFER,R03,R03,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-002,OWNERSHIP AND RESPONSIBILITY OF,R03,R03,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-003,RETURNING TO POOL,R03,R03,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-004,MEMORYPOOL,R03,R03,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
