source_id,image_use_id,fileId_short,x,y,width,height,nearest_labels_for_search_only,coverage_status,current_region_decision,current_subregion_decision,decision_is_final,must_recheck_before_region_close,decision_basis,review_notes
S-001,IU-001,ab6359fd2b,0.0,0.0,1052.0,445.0,"T-010:} | T-011:} | T-009:return int.TryParse(Convert.ToString(val), out var i) && i % 2 == 0; | T-008:if (!values.TryGetValue(routeKey, out var val) || val == null) return false; | T-012:// register in Startup / Program.cs",candidate-rtr01,RTR01,RTR01A,no-boundary-review-only,yes,"Required, optional and catch-all route parameters plus the role of built-in route constraints.",Stage1 boundary review only; source image is not processed yet.
S-002,IU-002,de6f3b1057,0.0,0.0,1037.0,432.0,"T-010:} | T-009:return int.TryParse(Convert.ToString(val), out var i) && i % 2 == 0; | T-011:} | T-008:if (!values.TryGetValue(routeKey, out var val) || val == null) return false; | T-007:{",candidate-rtr01,RTR01,RTR01A,no-boundary-review-only,yes,"Required, optional and catch-all route parameters plus the role of built-in route constraints.",Stage1 boundary review only; source image is not processed yet.
S-003,IU-003,cd1bc31105,0.0,0.0,958.0,464.0,"T-011:} | T-010:} | T-009:return int.TryParse(Convert.ToString(val), out var i) && i % 2 == 0; | T-012:// register in Startup / Program.cs | T-008:if (!values.TryGetValue(routeKey, out var val) || val == null) return false;",candidate-rtr01,RTR01,RTR01A,no-boundary-review-only,yes,"Required, optional and catch-all route parameters plus the role of built-in route constraints.",Stage1 boundary review only; source image is not processed yet.
S-004,IU-004,6091f78aac,0.0,0.0,952.0,467.0,"T-011:} | T-010:} | T-009:return int.TryParse(Convert.ToString(val), out var i) && i % 2 == 0; | T-012:// register in Startup / Program.cs | T-008:if (!values.TryGetValue(routeKey, out var val) || val == null) return false;",candidate-rtr01,RTR01,RTR01B,no-boundary-review-only,yes,"Required, optional and catch-all route parameters plus the role of built-in route constraints.",Stage1 boundary review only; source image is not processed yet.
S-005,IU-005,71956f9267,0.0,0.0,812.0,638.0,"T-013:services.Configure<RouteOptions>(opts => | T-014:{ | T-012:// register in Startup / Program.cs | T-015:opts.ConstraintMap.Add(""even"", typeof(EvenNumberConstraint)); | T-016:});",candidate-rtr02,RTR02,RTR02A,no-boundary-review-only,yes,"Custom constraint Match implementation, RouteOptions.ConstraintMap registration and inline use in a route template.",Stage1 boundary review only; source image is not processed yet.
S-006,IU-006,628f529298,0.0,0.0,1043.0,482.0,"T-011:} | T-010:} | T-009:return int.TryParse(Convert.ToString(val), out var i) && i % 2 == 0; | T-012:// register in Startup / Program.cs | T-008:if (!values.TryGetValue(routeKey, out var val) || val == null) return false;",candidate-rtr03,RTR03,RTR03A,no-boundary-review-only,yes,"Candidate creation, constraint filtering, route precedence, endpoint order, fallback routes, attributes/filters and deliberate overrides.",Stage1 boundary review only; source image is not processed yet.
S-007,IU-007,4eb036ccc0,0.0,0.0,1021.0,482.0,"T-011:} | T-010:} | T-009:return int.TryParse(Convert.ToString(val), out var i) && i % 2 == 0; | T-012:// register in Startup / Program.cs | T-008:if (!values.TryGetValue(routeKey, out var val) || val == null) return false;",candidate-rtr03,RTR03,RTR03A,no-boundary-review-only,yes,"Candidate creation, constraint filtering, route precedence, endpoint order, fallback routes, attributes/filters and deliberate overrides.",Stage1 boundary review only; source image is not processed yet.
S-008,IU-008,aa1b49fb6c,0.0,0.0,1088.0,227.0,"T-006:RouteValueDictionary values, RouteDirection routeDirection) | T-005:public bool Match(HttpContext httpContext, IRouter route, string routeKey, | T-023:first | T-007:{ | T-004:{",candidate-rtr03,RTR03,RTR03A,no-boundary-review-only,yes,"Candidate creation, constraint filtering, route precedence, endpoint order, fallback routes, attributes/filters and deliberate overrides.",Stage1 boundary review only; source image is not processed yet.
S-009,IU-009,6e56ce2a1e,0.0,0.0,881.0,482.0,"T-011:} | T-010:} | T-009:return int.TryParse(Convert.ToString(val), out var i) && i % 2 == 0; | T-012:// register in Startup / Program.cs | T-008:if (!values.TryGetValue(routeKey, out var val) || val == null) return false;",candidate-rtr03,RTR03,RTR03A,no-boundary-review-only,yes,"Candidate creation, constraint filtering, route precedence, endpoint order, fallback routes, attributes/filters and deliberate overrides.",Stage1 boundary review only; source image is not processed yet.
S-010,IU-010,c7da02b627,0.0,0.0,1004.0,304.0,"T-007:{ | T-008:if (!values.TryGetValue(routeKey, out var val) || val == null) return false; | T-006:RouteValueDictionary values, RouteDirection routeDirection) | T-009:return int.TryParse(Convert.ToString(val), out var i) && i % 2 == 0; | T-005:public bool Match(HttpContext httpContext, IRouter route, string routeKey,",candidate-rtr03,RTR03,RTR03A,no-boundary-review-only,yes,"Candidate creation, constraint filtering, route precedence, endpoint order, fallback routes, attributes/filters and deliberate overrides.",Stage1 boundary review only; source image is not processed yet.
S-011,IU-011,c3393e5f09,0.0,0.0,970.0,430.0,"T-010:} | T-009:return int.TryParse(Convert.ToString(val), out var i) && i % 2 == 0; | T-011:} | T-008:if (!values.TryGetValue(routeKey, out var val) || val == null) return false; | T-007:{",candidate-rtr03,RTR03,RTR03A,no-boundary-review-only,yes,"Candidate creation, constraint filtering, route precedence, endpoint order, fallback routes, attributes/filters and deliberate overrides.",Stage1 boundary review only; source image is not processed yet.
S-012,IU-012,8bab71ab96,0.0,0.0,996.0,415.0,"T-010:} | T-009:return int.TryParse(Convert.ToString(val), out var i) && i % 2 == 0; | T-011:} | T-008:if (!values.TryGetValue(routeKey, out var val) || val == null) return false; | T-007:{",candidate-rtr03,RTR03,RTR03A,no-boundary-review-only,yes,"Candidate creation, constraint filtering, route precedence, endpoint order, fallback routes, attributes/filters and deliberate overrides.",Stage1 boundary review only; source image is not processed yet.
S-013,IU-013,24156a0237,0.0,0.0,1030.0,453.0,"T-010:} | T-011:} | T-009:return int.TryParse(Convert.ToString(val), out var i) && i % 2 == 0; | T-008:if (!values.TryGetValue(routeKey, out var val) || val == null) return false; | T-012:// register in Startup / Program.cs",candidate-rtr03,RTR03,RTR03A,no-boundary-review-only,yes,"Candidate creation, constraint filtering, route precedence, endpoint order, fallback routes, attributes/filters and deliberate overrides.",Stage1 boundary review only; source image is not processed yet.
S-014,IU-014,c6baa0ded4,0.0,0.0,1066.0,139.0,"T-004:{ | T-022:apply specific endpoint | T-005:public bool Match(HttpContext httpContext, IRouter route, string routeKey, | T-023:first | T-003:public class EvenNumberConstraint : IRouteConstraint",candidate-rtr03,RTR03,RTR03A,no-boundary-review-only,yes,"Candidate creation, constraint filtering, route precedence, endpoint order, fallback routes, attributes/filters and deliberate overrides.",Stage1 boundary review only; source image is not processed yet.
S-015,IU-015,71d715c86e,0.0,0.0,831.0,482.0,"T-011:} | T-010:} | T-009:return int.TryParse(Convert.ToString(val), out var i) && i % 2 == 0; | T-012:// register in Startup / Program.cs | T-008:if (!values.TryGetValue(routeKey, out var val) || val == null) return false;",candidate-rtr03,RTR03,RTR03B,no-boundary-review-only,yes,"Candidate creation, constraint filtering, route precedence, endpoint order, fallback routes, attributes/filters and deliberate overrides.",Stage1 boundary review only; source image is not processed yet.
S-016,IU-016,6d2d62a464,0.0,0.0,631.0,482.0,"T-011:} | T-010:} | T-009:return int.TryParse(Convert.ToString(val), out var i) && i % 2 == 0; | T-012:// register in Startup / Program.cs | T-008:if (!values.TryGetValue(routeKey, out var val) || val == null) return false;",candidate-rtr03,RTR03,RTR03B,no-boundary-review-only,yes,"Candidate creation, constraint filtering, route precedence, endpoint order, fallback routes, attributes/filters and deliberate overrides.",Stage1 boundary review only; source image is not processed yet.
