use_id,image_id,filename,sha256_12,region_id,x,y,width,height,opacity,duplicate_of_use_id,nearest_text_ids,nearest_captions,status,transcript_file,authoritative_transcript
IU-001,image-316799c9d38d16f428611cfaa82bb287587818d2,16b21e4b21bd.png,16b21e4b21bd,R01,4218.4331737633765,19.517590882308923,423.0,301.0,1.0,,T-004|T-003|T-002,of the inputted string|of 1 and 0 of the length k as substring|need : give true if there is all combinations,closed,01-transcript-R01-problem-statement-brute-force-and-recursion-smell.md,06-full-combined-final-transcript.md
IU-002,image-5f94a08a53c1f5954e02c6054681d511c0a8f502,881f4011d1f9.png,881f4011d1f9,R01,4229.257870609587,322.67547598202106,356.0,301.0,1.0,,T-007|T-008|T-009,"problem : get all comb|we build string|func(built,nextadd)",closed,01-transcript-R01-problem-statement-brute-force-and-recursion-smell.md,06-full-combined-final-transcript.md
IU-003,image-888237bf83dd22be3a3bce7f6a04099f89005b92,b2388138969f.png,b2388138969f,R01,4108.441832356671,656.1755064995991,590.0,178.0,1.0,,T-015|T-014|T-013,funcadd 1|bt|funcadd 0,closed,01-transcript-R01-problem-statement-brute-force-and-recursion-smell.md,06-full-combined-final-transcript.md
IU-004,image-7b923d2c7ea487ee0ccce9d0af83585aa14010be,7c6d82776ebe.png,7c6d82776ebe,R01,5539.731373745217,10.0,520.0,167.0,1.0,,T-029|T-030|T-018,01002|010 100 002|11 10 01 00,closed,01-transcript-R01-problem-statement-brute-force-and-recursion-smell.md,06-full-combined-final-transcript.md
IU-005,image-b45a7b1f01273773adb0b8e5e55c9120843f1599,2068a68feeb5.png,2068a68feeb5,R01,5536.14060674404,359.5845556099432,416.0,80.0,1.0,,T-018|T-030|T-017,11 10 01 00|010 100 002|get all combs,closed,01-transcript-R01-problem-statement-brute-force-and-recursion-smell.md,06-full-combined-final-transcript.md
IU-006,image-db188cb8368e5bbe79210eaf271f275057aeec80,9a621b2346f2.png,9a621b2346f2,R01,5503.142383974006,1342.549350955143,709.0,89.0,1.0,,T-028|T-027|T-026,"1|need to find sit when we dont need to check|work: iterate whole input with s w, iterate combs and check for each",closed,01-transcript-R01-problem-statement-brute-force-and-recursion-smell.md,06-full-combined-final-transcript.md
IU-007,image-c3c0583838d67b076cd2b2750789ec3150566563,97090079fa81.png,97090079fa81,R01,3412.8270730957015,1782.8801754543715,545.0,482.0,1.0,,T-016|T-015|T-014,how to check?|funcadd 1|bt,closed,01-transcript-R01-problem-statement-brute-force-and-recursion-smell.md,06-full-combined-final-transcript.md
IU-008,image-21b496973fb9c506425ce573d9e599445962c599,63aa83938389.png,63aa83938389,R01,4286.441869418794,2334.3177324412486,623.0,311.0,1.0,,T-028|T-016|T-027,1|how to check?|need to find sit when we dont need to check,closed,01-transcript-R01-problem-statement-brute-force-and-recursion-smell.md,06-full-combined-final-transcript.md
IU-009,image-bd73e38356e9bd643f0845aafcfaa0c930f190b4,f8a6a7db0398.png,f8a6a7db0398,R01,4267.432128264028,2113.243778661561,589.0,207.0,1.0,,T-028|T-016|T-027,1|how to check?|need to find sit when we dont need to check,closed,01-transcript-R01-problem-statement-brute-force-and-recursion-smell.md,06-full-combined-final-transcript.md
IU-010,image-b3081e60d7ced6c45df50d7f6fe92c556036a686,63aa83938389.png,63aa83938389,R01,4264.106574904564,1813.3507054203178,623.0,311.0,1.0,,T-016|T-028|T-027,how to check?|1|need to find sit when we dont need to check,closed,01-transcript-R01-problem-statement-brute-force-and-recursion-smell.md,06-full-combined-final-transcript.md
IU-011,image-7efbb4ebb9836baf1413324aa1a0802a2d306a4c,82838b9533b8.png,82838b9533b8,R02,3344.4285077893865,2888.4668067719294,579.0,482.0,1.0,,T-036|T-037|T-038,need to downgrade implementation to fucking ground suka|Ask: what can cause any issue/resources being wasted?|Can you get rid of it completely and leave just a number or count or anything?,closed,02-transcript-R02-reducing-the-problem-to-counts-and-distinct-windows.md,06-full-combined-final-transcript.md
IU-012,image-420124f7e415510af39214775df2a44083da0917,1fe109a8f76b.png,1fe109a8f76b,R02,3913.4391284019985,3728.2809102890756,895.0,138.0,1.0,,T-036|T-037|T-038,need to downgrade implementation to fucking ground suka|Ask: what can cause any issue/resources being wasted?|Can you get rid of it completely and leave just a number or count or anything?,closed,02-transcript-R02-reducing-the-problem-to-counts-and-distinct-windows.md,06-full-combined-final-transcript.md
IU-013,image-c351e89814b5ae337b1653b9cc726f5cf5f027ef,36e3d0e94ea8.png,36e3d0e94ea8,R02,3961.1926292710104,3915.721201831068,660.0,185.0,1.0,,T-036|T-037|T-038,need to downgrade implementation to fucking ground suka|Ask: what can cause any issue/resources being wasted?|Can you get rid of it completely and leave just a number or count or anything?,closed,02-transcript-R02-reducing-the-problem-to-counts-and-distinct-windows.md,06-full-combined-final-transcript.md
IU-014,image-893ecfd04428ce3189587fc5d61946ae58a41b47,d801cf0c5b0a.png,d801cf0c5b0a,R02,3831.0311553384336,4180.832705843772,1036.0,291.0,1.0,,T-036|T-037|T-038,need to downgrade implementation to fucking ground suka|Ask: what can cause any issue/resources being wasted?|Can you get rid of it completely and leave just a number or count or anything?,closed,02-transcript-R02-reducing-the-problem-to-counts-and-distinct-windows.md,06-full-combined-final-transcript.md
