label_id,text,x,y,font_size,candidate_region,status,notes
T-001,so we can imagine if there are a lot of work,5570.884411514547,1561.71461854293,20px,R02,pending-transcript,
T-002,in the begginning of each loop and before,5570.884411514547,1561.71461854293,20px,R02,pending-transcript,
T-003,async api thing,5570.884411514547,1561.71461854293,20px,R02,pending-transcript,
T-004,Operation should be cancelled if user navigates away OR if you cant fetch something from ext api,2484.9876836182266,1353.1391466862115,20px,R01,pending-transcript,
T-005,Have token passed from controller and our source with using,2649.2963141141227,1425.9910279253672,20px,R01,pending-transcript,
T-006,Creating linked cancellation token source by passing our two tokens,2594.2963141141227,1911.54656140515,20px,R01,pending-transcript,
T-007,Note that you can pass one token or more tokens as well,2614.2963141141227,2364.3243281450414,20px,R01,pending-transcript,
T-008,Passing token from linked source,2583.555652493029,2483.7687674679037,20px,R01,pending-transcript,
T-009,!!!!!!! you are subscribing,3474.78618127731,2152.781495859279,20px,R01,pending-transcript,
T-010,new token source,3474.78618127731,2152.781495859279,20px,R01,pending-transcript,
T-011,to 2 tokens,3474.78618127731,2152.781495859279,20px,R01,pending-transcript,
T-012,so produces by this source,3474.78618127731,2152.781495859279,20px,R01,pending-transcript,
T-013,tokens will be cancelled on,3474.78618127731,2152.781495859279,20px,R01,pending-transcript,
T-014,either of 2 tokens,3474.78618127731,2152.781495859279,20px,R01,pending-transcript,
T-015,being cancelled,3474.78618127731,2152.781495859279,20px,R01,pending-transcript,
T-016,createlinkedtokensource,4157.112802213105,624.7007028152948,176.1481119791672px,R01,pending-transcript,
T-017,linkedtokensource,1977.1128022131052,511.36726775670104,176.1481119791672px,R01,pending-transcript,
T-018,cancellation for,4627.504160603792,4450.975454024374,182.28564453125006px,R01,pending-transcript,
T-019,"disconnect,abotrion",4627.504160603792,4450.975454024374,182.28564453125006px,R01,pending-transcript,
T-020,cpu bound,6527.503753702751,4186.530873946249,182.28564453125006px,R02,pending-transcript,
T-021,manual cancellatoin,6527.503753702751,4186.530873946249,182.28564453125006px,R02,pending-transcript,
T-022,throwifcancrequested,6527.503753702751,4186.530873946249,182.28564453125006px,R02,pending-transcript,
T-023,let it bubble for,3100.8372904866046,4457.64201896578,182.28564453125006px,R01,pending-transcript,
T-024,disconnect,3100.8372904866046,4457.64201896578,182.28564453125006px,R01,pending-transcript,
T-025,dont catch,3100.8372904866046,4457.64201896578,182.28564453125006px,R01,pending-transcript,
T-026,!!!,9676.7069661765,815.7639510198751,70.66666666666276px,R03,pending-transcript,
T-027,Handling exceptions in async code,10283.664031334922,1136.7863887000822,20px,R03,pending-transcript,
T-028,Old async issues,10306.071461347943,1210.4901037065538,20px,R03,pending-transcript,
T-029,Now just,10312.73812801461,1738.2678538896253,20px,R03,pending-transcript,
T-030,occures when call throwifcancellationrequested,10177.676516415218,2854.2114445150764,20px,R03,pending-transcript,
T-031,occurs when task cancelled regularly(?),10974.7134630298,2830.754616715607,20px,R03,pending-transcript,
T-032,OperationCancelledException covers both types,10269.03444297231,3338.655791178473,20px,R03,pending-transcript,
T-033,EXCEPTIONS,10065.008366981778,411.7401280091326,151.04764229910796px,R03,pending-transcript,
T-034,how to know what caused,10.0,10.0,79.25925021701406px,R01,pending-transcript,
T-035,cancellation,10.0,10.0,79.25925021701406px,R01,pending-transcript,
T-036,when have linkedtokensource,10.0,10.0,79.25925021701406px,R01,pending-transcript,
T-037,createlinkedtokensource,1871.6362914630117,585.4678427397412,20px,R01,pending-transcript,
