region_source_id,source_id,image_use_id,fileId_short,status,candidate_type,readability,cut_off,confidence,theme,notes
EF01A-S001,S-010,IU-010,e64cf87310,verified-from-source-image,ef01a-tracking-read-performance,high,no,high,make reads no-tracking by default,Full source image visually checked.
EF01A-S002,S-031,IU-031,af19e8920a,verified-from-source-image,ef01a-identity-map,high,no,high,identity map meaning and why it matters,Full source image visually checked.
EF01A-S003,S-009,IU-009,1256f47477,verified-visible-partial-from-source-image,ef01a-identity-resolution-code-fragment,high,top-context-cropped,high-for-visible-text,AsNoTrackingWithIdentityResolution usage,Top context is cropped; visible text/code is clear.
EF01A-S004,S-032,IU-032,27e0fafb7d,verified-from-source-image,ef01a-when-entity-becomes-tracked,high,no,high,when an entity becomes tracked,Full source image visually checked.
EF01A-S005,S-008,IU-008,5f5db5c14f,verified-from-source-image,ef01a-projection-avoid-materialization,high,no,high,project only what you need,Full source image visually checked.
EF01A-S006,S-033,IU-033,31d62e0a78,verified-visible-partial-from-source-image,ef01a-attach-add-tracking,high,top-context-cropped,high-for-visible-text,Attach/Add also make entity tracked,Top context is cropped; visible text/code is clear.
EF01A-S007,S-034,IU-034,07d0c9bb3c,verified-from-source-image,ef01a-find-identity-map,high,no,high,Find skips query only if entity is already tracked,Full source image visually checked.
EF01A-S008,S-007,IU-007,a67f713ace,verified-from-source-image,ef01a-avoid-big-include-graphs,high,no,high,avoid big Include graphs,"Full source image visually checked. This connects to EF01A read optimization, while deeper loading details remain EF01B."
EF01A-S009,S-035,IU-035,f5a69d20bc,verified-from-source-image,ef01a-find-not-needed-if-entity-in-hand,high,no,high,do not call Find again if tracked entity instance is already in hand,Full source image visually checked.
EF01A-S010,S-036,IU-036,0e5b2c9aff,verified-from-source-image,ef01a-when-find-useful,high,bottom-slightly-close-but-text-visible,high,when Find is useful,Full source image visually checked.
EF01A-S011,S-053,IU-053,05e414e028,verified-from-source-image,ef01a-asnotracking-identity-resolution-definition,high,no,high,what AsNoTrackingWithIdentityResolution is,Full source image visually checked.
EF01A-S012,S-054,IU-054,be97b0c8b5,verified-from-source-image,ef01a-compare-tracking-no-tracking,high,bottom-continues-in-next-source,high-for-visible-text,compare tracking and no tracking,The no-tracking bullet list continues below the visible crop and into the next source.
EF01A-S013,S-055,IU-055,75c8a8c2fe,verified-visible-partial-from-source-image,ef01a-compare-no-tracking-identity-resolution,high,bottom-continues-after-visible-area,high-for-visible-text,no tracking plus identity resolution,Bottom seems to continue after visible area; visible content is clear.
EF01A-S014,S-056,IU-056,2252a4c4af,verified-from-source-image,ef01a-why-identity-resolution-matters,high,no,high,why identity resolution matters,Full source image visually checked.
EF01A-S015,S-057,IU-057,eb072cdd8b,verified-from-source-image,ef01a-when-to-use-identity-resolution,high,no,high,not default; rule for choosing tracking/no-tracking/identity-resolution,Full source image visually checked.
EF01A-S016,S-058,IU-058,16669395cb,verified-visible-partial-from-source-image,ef01a-practical-default,high,top-context-cropped,high-for-visible-text,practical default: AsNoTracking then switch to identity resolution when needed,Top context is cropped; visible content is clear. Bottom says to switch when repeated same entity matters.
