source_id,image_use_id,fileId_short,candidate_region,x,y,width,height,status,final_region,processing_stage,nearest_labels,notes
S-001,IU-001,f9529ae052,R01,10288.091333990442,703.5419825336376,1001.0,423.0,unprocessed-stage0-checklist,,,example | using Microsoft.AspNetCore.Mvc; | using Microsoft.AspNetCore.Mvc.Filters; | | public class | why we cant use exc filters | to catch exceptions from auth filters | exception filter | result after exec vs | resource after action | exception middleware can,Stage0 inventory only; transcript pass must visually/semantically re-check ownership.
S-002,IU-002,9d2c8ac995,R01,7952.838113461561,745.3353660017765,604.0,482.0,unprocessed-stage0-checklist,,,marking exception as | handled to stop propagation | exception filter | why we cant use exc filters | to catch exceptions from auth filters | example | ordering | exception middleware can,Stage0 inventory only; transcript pass must visually/semantically re-check ownership.
S-003,IU-003,6e894d1f81,R01,13042.36640299614,831.529638283082,1027.0,482.0,unprocessed-stage0-checklist,,,result after exec vs | resource after action | using Microsoft.AspNetCore.Mvc; | using Microsoft.AspNetCore.Mvc.Filters; | | public class | example | why we cant use exc filters | to catch exceptions from auth filters | exception middleware can | checking if rout is from api | or controller,Stage0 inventory only; transcript pass must visually/semantically re-check ownership.
S-004,IU-004,925d55f560,R01,6944.983176651757,849.9577534209493,964.0,482.0,unprocessed-stage0-checklist,,,marking exception as | handled to stop propagation | exception filter | ordering | why we cant use exc filters | to catch exceptions from auth filters | example | exception middleware can,Stage0 inventory only; transcript pass must visually/semantically re-check ownership.
S-005,IU-005,b63667e7f9,R01,4798.617411127119,971.5793670434487,1083.0,262.0,unprocessed-stage0-checklist,,,ordering | marking exception as | handled to stop propagation | filters | _____ | filters vs middleware and | theor | exception filter | how to get services from httpcontext | <---ASYNC FILTERS,Stage0 inventory only; transcript pass must visually/semantically re-check ownership.
S-006,IU-006,58f90fb329,R01,10336.925408123025,1190.5522974750438,912.0,566.0,unprocessed-stage0-checklist,,,using Microsoft.AspNetCore.Mvc; | using Microsoft.AspNetCore.Mvc.Filters; | | public class | example | why we cant use exc filters | to catch exceptions from auth filters | exception middleware can | exception filter | result after exec vs | resource after action,Stage0 inventory only; transcript pass must visually/semantically re-check ownership.
S-007,IU-007,d941efedbf,R01,71.84938081409564,1199.8576374806908,877.0,482.0,unprocessed-stage0-checklist,,,"<---ASYNC FILTERS | filters | _____ | filters vs middleware and | theor | !!! | DI FOR GLOBAL AND TYPEFILTER WITH SERVICEFILTER | CAN ALSO USE FILTER ATTRIBUTES | CANT USE DI IN CTOR, NEED TO GET FROM CONTEXT | IT IS A D | how to get services from httpcontext",Stage0 inventory only; transcript pass must visually/semantically re-check ownership.
S-008,IU-008,95f870b8a2,R01,8015.191181268521,1215.3545690475094,769.0,482.0,unprocessed-stage0-checklist,,,marking exception as | handled to stop propagation | exception filter | why we cant use exc filters | to catch exceptions from auth filters | exception middleware can | example | ordering,Stage0 inventory only; transcript pass must visually/semantically re-check ownership.
S-009,IU-009,b8b1cf2e57,R01,3065.573670321606,1220.6524979442638,767.0,482.0,unprocessed-stage0-checklist,,,filters | _____ | filters vs middleware and | theor | <---ASYNC FILTERS | ordering | how to get services from httpcontext | DI FOR GLOBAL AND TYPEFILTER WITH SERVICEFILTER | !!!,Stage0 inventory only; transcript pass must visually/semantically re-check ownership.
S-010,IU-010,9d2c8ac995,R01,1253.948776317201,1242.7190754011408,604.0,482.0,unprocessed-stage0-checklist,,,"<---ASYNC FILTERS | filters | _____ | filters vs middleware and | theor | DI FOR GLOBAL AND TYPEFILTER WITH SERVICEFILTER | !!! | how to get services from httpcontext | CAN ALSO USE FILTER ATTRIBUTES | CANT USE DI IN CTOR, NEED TO GET FROM CONTEXT | IT IS A D",Stage0 inventory only; transcript pass must visually/semantically re-check ownership.
