text_id,text,x,y,region_id,status
T-001,basically its still iqueryable and thats why ef can build,358.5316417996414,938.4268292455646,R01,pending_transcript
T-002,normal query for one roundtrip or for 2,358.5316417996414,963.4268292455646,R01,pending_transcript
T-003,"when its ienumerable and you iterate, then you iterate in memory",358.5316417996414,988.4268292455646,R01,pending_transcript
T-004,and n + 1 happens,358.5316417996414,1013.4268292455646,R01,pending_transcript
T-005,evr ok if configured nav prorp,8293.92818787822,3634.691065504895,R04,pending_transcript
T-006,problems with ll and,7167.710152452793,513.7443591908138,R04,pending_transcript
T-007,hidden backing fields,7167.710152452793,615.6674361138909,R04,pending_transcript
T-008,n + 1 problem,260.27845968809106,276.64940502929693,R01,pending_transcript
T-009,how to setup/use,3833.868583573541,470.8831039397618,R02,pending_transcript
T-010,why ll tends to violate,3843.334096398322,3004.176635516991,R02,pending_transcript
T-011,ddd,3843.334096398322,3138.2675446078997,R02,pending_transcript
