region_source_id,source_id,image_use_id,fileId_short,region,subregion,status,readability,cut_off,confidence,theme,notes
AEM02A-S001,S-008,IU-008,41e1101f92,AEM02,AEM02A,verified-from-source-image,medium-high,no,high,Endpoint metadata overview,
AEM02A-S002,S-009,IU-009,94a3be02eb,AEM02,AEM02A,verified-from-source-image,medium-high,no,high,Endpoint metadata lookup by type,
AEM02A-S003,S-010,IU-010,9f4be0682e,AEM02,AEM02A,verified-from-source-image,medium-high,no,high,Endpoint metadata can include MVC action-related data,
AEM02B-S001,S-011,IU-011,4782a5027c,AEM02,AEM02B,verified-from-source-image,medium-high,no,high,Minimal API endpoint metadata,
AEM02B-S002,S-012,IU-012,68da5af80d,AEM02,AEM02B,verified-from-source-image,medium-high,no,high,Endpoint.Metadata as a unified metadata bag,
AEM02B-S003,S-013,IU-013,1958f75494,AEM02,AEM02B,verified-from-source-image,medium-high,no,high,Endpoint metadata versus action descriptor metadata,
AEM02B-S004,S-014,IU-014,3b923bdd2b,AEM02,AEM02B,verified-from-source-image,medium-high,no,high,Reading endpoint metadata in middleware,
AEM02B-S005,S-015,IU-015,6f047fa761,AEM02,AEM02B,verified-from-source-image,medium-high,no,high,Metadata added by attributes and conventions,
AEM02B-S006,S-016,IU-016,0e39a18bcf,AEM02,AEM02B,verified-from-source-image,medium-high,no,high,Endpoint metadata practical uses,
AEM02C-S001,S-026,IU-026,e9e89f5a7b,AEM02,AEM02C,verified-from-source-image,medium-high,no,high,IApiEndpointMetadata overview,
AEM02C-S002,S-027,IU-027,e5c3a0ddfd,AEM02,AEM02C,verified-from-source-image,medium-high,no,high,IApiEndpointMetadata in endpoint metadata collection,
AEM02C-S003,S-028,IU-028,6c889635cf,AEM02,AEM02C,verified-from-source-image,medium-high,no,high,API metadata produced by minimal APIs/MVC,
AEM02C-S004,S-029,IU-029,c815d9e470,AEM02,AEM02C,verified-from-source-image,medium-high,no,high,Endpoint metadata and API Explorer/OpenAPI,
AEM02C-S005,S-030,IU-030,44490a213d,AEM02,AEM02C,verified-from-source-image,medium-high,no,high,Minimal APIs rely more directly on endpoint metadata,
AEM02C-S006,S-031,IU-031,e9cc148aaa,AEM02,AEM02C,verified-from-source-image,medium-high,no,high,MVC endpoint metadata can bridge to MVC concepts,
AEM03A-S001,S-032,IU-032,59cf456c4c,AEM03,AEM03A,verified-from-source-image,medium-high,no,high,Ordered metadata overview,
AEM03A-S002,S-033,IU-033,f1b376a0b4,AEM03,AEM03A,verified-from-source-image,medium-high,no,high,GetMetadata returns last/highest-priority metadata,
AEM03A-S003,S-034,IU-034,d861e75fdb,AEM03,AEM03A,verified-from-source-image,medium-high,no,high,GetOrderedMetadata returns all relevant metadata in order,
AEM03B-S001,S-035,IU-035,b557687361,AEM03,AEM03B,verified-from-source-image,medium-high,no,high,Order matters for auth/CORS/custom metadata,
AEM03B-S002,S-036,IU-036,f607ed2bf0,AEM03,AEM03B,verified-from-source-image,medium-high,no,high,Practical ordered metadata mental model,
