item_type,item_id,secondary_id,sha256,region_id,status,restored,assignment_count,evidence
image_use,S-001,IU-001,2d4613f7e7ff6d83137ec8969db89428c8f6350cd3f44cac4358e4ed69e26874,R01,processed-semantic-transcript,True,1,Browser-generated request Cache-Control max-age=0 versus application-generated request headers.
image_use,S-002,IU-002,fc01d79549049302a21573b073bc9b216a7e106a724ed8d69e0aaa26af963c8f,R01,processed-semantic-transcript,True,1,"Client request directives: max-age, max-stale, min-fresh, no-cache, no-store, and only-if-cached."
image_use,S-003,IU-003,9f0511a395d5233bf7bc9069dd72aeb61fdfe2e9902fa11d3baceac958a9a892,R01,processed-semantic-transcript,True,1,Overview of Cache-Control on requests and responses across private and shared caches.
image_use,S-004,IU-004,94e193f6f0fd62f04d3c43413737196c69603baed07b0618c21ca3b85a6bb12f,R02,processed-semantic-transcript,True,1,"Freshness flow for public max-age=60 across first, fresh, and stale requests."
image_use,S-005,IU-005,395590526c55662db468d23c40ef786671fce6c0c772cbce7dde5ffea0da8deb,R03,processed-semantic-transcript,True,1,ETag or Last-Modified without explicit Cache-Control may still permit heuristic storage and later validation.
image_use,S-006,IU-006,f4b75da0d363bd74501ebb0b1e33dd5652cdc60287ac78d2de7f5b7a97a1b377,R03,processed-semantic-transcript,True,1,Always-revalidate pattern: validator plus Cache-Control no-cache.
image_use,S-007,IU-007,4377b7cac1370799b4da6f9f0fa852af0840514f05e72443d7c5adb5a0062cab,R02,processed-semantic-transcript,True,1,Browser heuristic decisions when validators exist but explicit freshness does not.
image_use,S-008,IU-008,5e4956c7fed264b1706b965ccb1f8720fba04df806ddbe7daf30ef740978e2b3,R04,processed-semantic-transcript,True,1,no-store as the primary directive for sensitive data.
image_use,S-009,IU-009,79af126eef6d231932abecf1aeea56b98ab92a5eef2c58d97ca0a21c7c7d3ad3,R06,processed-semantic-transcript,True,1,Output Cache described as server-side shared caching whose key and policies must prevent personalized leaks.
image_use,S-010,IU-010,e9dac0146f59f966762c5f832330787e8414863eaaaf90d119ec45ab5ae8d4e1,R06,processed-semantic-transcript,True,1,Nuance that Output Cache is shared server-side caching even though policies can vary by dimensions.
image_use,S-011,IU-011,ce9971f8b3b920fa19ee95e41fc7b6d1136ac330bbee8bde4ea53c5069a35a4c,R04,processed-semantic-transcript,True,1,Guidance for public content that is identical for every user.
image_use,S-012,IU-012,4d1d565e379323fcae3c2110625f71c834e0a4cd9210ab4256f84d672d080023,R03,processed-semantic-transcript,True,1,Classic no-cache plus ETag flow from cached response to conditional request and 304.
image_use,S-013,IU-013,5bd2a88b3354575232aa4ffc6a373475c76787f8e0694c11cfb601f1dfd8aac7,R01,processed-semantic-transcript,True,1,Distinction between request Cache-Control and response Cache-Control.
image_use,S-014,IU-014,b4bf6a85305872efd1c9a39d229974b1636e4d9b863db321c7f5559aa3d9cb88,R02,processed-semantic-transcript,True,1,No max-age or Expires: response is not safely predictable as cacheable and APIs should usually be called again.
image_use,S-015,IU-015,7fd5ebc6e07e33f977400e35ac980312109e875d0d7fa83f4cac699a1cdeec27,R06,processed-semantic-transcript,True,1,Output Cache safety rule: cache only effectively public content for the selected key.
image_use,S-016,IU-016,95982c8fd75e592d7a127448874240684ffcf0b736ad3f2b4434d1cf4196035c,R02,processed-semantic-transcript,True,1,Heuristic caching example using ETag without explicit freshness.
image_use,S-017,IU-017,d355af4fa2911f694b72316fac1def12036ba6993a1fbc37d5f9386b4cff4fc0,R04,processed-semantic-transcript,True,1,Private browser caching guidance for personalized content.
image_use,S-018,IU-018,e87e635d13be925867565d0553f1c000773484a8cfd3ea560336b02136b2f373,R03,processed-semantic-transcript,True,1,must-revalidate behavior after a max-age lifetime expires.
image_use,S-019,IU-019,04f15953da683da24d6b67f093a808e699d3919ec5f02a3abb75741785d7e452,R02,processed-semantic-transcript,True,1,max-age as the central performance-oriented freshness directive.
image_use,S-020,IU-020,273800646d4c2f57b7086d659e175bc740e34aa5eaaaf946d5142aa5e382122c,R02,processed-semantic-transcript,True,1,"max-age without validators gives fresh reuse, then usually a full fetch after expiry."
image_use,S-021,IU-021,dee706f5e900f6de62ab247c2c40cf574c3c0497958aea9b21fba1c9a76bccb6,R03,processed-semantic-transcript,True,1,Last-Modified with no-cache and conditional If-Modified-Since validation.
image_use,S-022,IU-022,8ddec5daccf98b4fc7c18f4830c02329c75644fb84be0f077605797dafc97b05,R04,processed-semantic-transcript,True,1,Browser cache is private and can safely hold user-specific responses when policy allows.
image_use,S-023,IU-023,33d7d4f803f74516d0b99529174c3b37cac4797bebe4e168156fedbee7751def,R01,processed-semantic-transcript,True,1,Combined request and response directives use the stricter effective rule.
image_use,S-024,IU-024,ff21b4e4134a44a7414698fc84cf94c870ffc984fc251b9f7de39f40e7612d14,R04,processed-semantic-transcript,True,1,Sensitive personalized content should generally use no-store and avoid shared caching.
image_use,S-025,IU-025,e7b3fa02e57dcb9f457e59879371bfc24573961d778ebc94cb700000c07b2f37,R01,processed-semantic-transcript,True,1,Client no-cache can force validation even when the response advertises max-age.
image_use,S-026,IU-026,6022a6be14097d7a4712334fd459e3c4f58998d0195dd7c451d987caba0a0f3d,R03,processed-semantic-transcript,True,1,"Without must-revalidate, some caches can serve stale content in limited policy-defined situations."
image_use,S-027,IU-027,3ee2002640a4c9d5ca395a33ed04d672143833c48303e3face65ea496f03dbe5,R04,processed-semantic-transcript,True,1,public versus private determines whether shared caches may store the representation.
image_use,S-028,IU-028,6f1f64d2c27f49d2456660cac819398bfae67314b2de82613b239eb5f540860f,R03,processed-semantic-transcript,True,1,Combined ETag and max-age flow: fresh reuse followed by conditional validation.
image_use,S-029,IU-029,501d19899153677adf0f71c6c030e7f0c2837698f9a59899b42ea7c7cb23af22,R04,processed-semantic-transcript,True,1,"Shared caches can expose personalized content unless responses are private, no-store, or correctly varied."
image_use,S-030,IU-030,1a02d11b7b9b9d0231b13dcb13ca2cf84c9be03f6c2d6121bcef80bdf4d8aa3d,R03,processed-semantic-transcript,True,1,no-cache plus ETag revalidation example with 304 and 200 outcomes.
image_use,S-031,IU-031,78eaf303fc779872930acc19fe9404f3dfa67aa1076ec51d8d8f5de47ea3a20e,R04,processed-semantic-transcript,True,1,private max-age example for user-specific data cacheable only on the client.
image_use,S-032,IU-032,0986cfc87e11fa2c710ac71cb0e094fa3bdfcc75b1a9c4651739bc734e9d8fa0,R01,processed-semantic-transcript,True,1,Client request no-store overrides a response that would otherwise permit public storage.
image_use,S-033,IU-033,7a0e82b4a7becbcf80702c3a516abaa563efefa500410753b1917dd55b122d8a,R02,processed-semantic-transcript,True,1,"After max-age expiry, ETag validation determines 304 versus a new 200 response."
image_use,S-034,IU-034,84f419caecae0ad52e025a32d286a4d7e570abe4bc425cacdbcd314bc2a91fc2,R03,processed-semantic-transcript,True,1,no-cache allows storage but requires validation before every reuse.
image_use,S-035,IU-035,6f9c873b7ac68ebda1a0836209b2593b3b0932a00cff872940a311e7bbfaa3bf,R02,processed-semantic-transcript,True,1,"Without no-cache, freshness directives decide whether a cached response can be reused directly."
image_use,S-036,IU-036,49811a669c7d6d36dd96fffba712680210286534e32b1cee7944b0025ff62196,R03,processed-semantic-transcript,True,1,must-revalidate is useful when serving stale content is unacceptable after expiry.
image_use,S-037,IU-037,552fa8c96bc17cc5bd8c0a7ff2c43d642252910680ef4e3b714466e2174ccaa0,R04,processed-semantic-transcript,True,1,"no-store prevents storage and is appropriate for tokens, PII, and banking data."
image_use,S-038,IU-038,18b2a1f75320401fcbb9c971457293a7771c46964f29f09a2c6eb6aa96aab7b1,R01,processed-semantic-transcript,True,1,Directive precedence is rule-specific rather than one universal override mechanism.
image_use,S-039,IU-039,01440e8e7a3a434905972deb133534d6ac667c6e9a294112dcfd8e8b8e746c36,R03,processed-semantic-transcript,True,1,must-revalidate prohibits stale reuse once a response becomes stale.
image_use,S-040,IU-040,d3436ee3117b49ec94a7ef50cc586c2aac463c758d13a67da73772fca7619800,R04,processed-semantic-transcript,True,1,"Response directive list covering max-age, s-maxage, cacheability, validation, and stale-serving policies."
image_use,S-041,IU-041,9e30162b385098b0f92a64333b59e713631d7959d51458899b14b404351970fc,R04,processed-semantic-transcript,True,1,public/private safety examples for browser and shared caches.
image_use,S-042,IU-042,298756daa31f081a60897f38ab3d3c9e5203a5425870e83b777d91a17dcb583b,R06,processed-semantic-transcript,True,1,ResponseCache attribute controls HTTP headers and influences browser/proxy caching and Response Caching Middleware.
image_use,S-043,IU-043,59872095f4deb748b0c42ae3ac53115c682c2ecefd97e876a5a8f9f2e9c8c73a,R04,processed-semantic-transcript,True,1,"Omitting public/private can be ambiguous for shared caches, so explicit scope is recommended."
image_use,S-044,IU-044,b4e99bd8d65439ecf9b62d32fea246268b224da2b58fc3c2637b1d9bce4ec87d,R01,processed-semantic-transcript,True,1,"Directive categories: cacheability, validation/revalidation, and advanced stale serving."
image_use,S-045,IU-045,05d6a49869e2a67b983700c158d9c643cf13392b025d911130b972aa6f4012e8,R06,processed-semantic-transcript,True,1,Client max-age=0 can force a browser/proxy cache or Response Caching Middleware to revalidate.
image_use,S-046,IU-046,ce6b2a79a6b1cb40a92b70390a61bbe3d6719616ae52bc3ad179470326054122,R06,processed-semantic-transcript,True,1,"SPA, browser cache, CDN, and Response Caching Middleware can create several independent caching layers."
