region_source_id,source_id,image_use_id,fileId_short,region,x,y,width,height,status,readability,confidence,topic,summary,nearest_labels,notes
R02R03-S001,S-011,IU-011,8defa316f7,R02,4710.16499140069,2337.000978299775,461.0,69.0,processed-in-r02r03-final-v001,medium; exact punctuation should be corrected from preserved PNG,high for boundary; medium-high for exact code/query punctuation,Staging-table flow and when to use staging,"Covers when bulk import should go through a staging table instead of writing directly into the final table, including validation/merge and safer operational flow.",use staging tables | use tablelock,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code/query punctuation.
R02R03-S002,S-017,IU-017,269a5767c3,R02,4706.823229738282,2497.998632386718,867.0,223.0,processed-in-r02r03-final-v001,medium-high,high for boundary; medium-high for exact code/query punctuation,Staging-table flow and when to use staging,"Covers when bulk import should go through a staging table instead of writing directly into the final table, including validation/merge and safer operational flow.",use tablelock | use staging tables,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code/query punctuation.
R02R03-S003,S-024,IU-024,d61b6202b2,R02,4677.494589691692,2863.8087302732474,940.0,463.0,processed-in-r02r03-final-v001,medium-high,high for boundary; medium-high for exact code/query punctuation,Staging-table flow and when to use staging,"Covers when bulk import should go through a staging table instead of writing directly into the final table, including validation/merge and safer operational flow.",tune batchsize | use tablelock | use staging tables,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code/query punctuation.
R02R03-S004,S-035,IU-035,5c4eb472d7,R02,4665.426481099581,3440.3447664467476,770.0,482.0,processed-in-r02r03-final-v001,medium-high,high for boundary; medium-high for exact code/query punctuation,"Performance checklist: TableLock, batch size, indexes, triggers, log pressure","Explains throughput and database-load tradeoffs: batching, table locks, index/trigger costs, transaction log pressure and streaming large files.",avoid triggers if you can | tune batchsize | manage indexes,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code/query punctuation.
R02R03-S005,S-047,IU-047,ec3fbcf0cb,R02,4645.310499697598,4043.262921208652,976.0,316.0,processed-in-r02r03-final-v001,medium-high,high for boundary; medium-high for exact code/query punctuation,"Performance checklist: TableLock, batch size, indexes, triggers, log pressure","Explains throughput and database-load tradeoffs: batching, table locks, index/trigger costs, transaction log pressure and streaming large files.",manage indexes | avoid triggers if you can | watch trans log,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code/query punctuation.
R02R03-S006,S-053,IU-053,43a153fd33,R02,3213.0505206073685,4440.461891725021,957.0,436.0,processed-in-r02r03-final-v001,medium-high,high for boundary; medium-high for exact code/query punctuation,Heap/staging schema and index strategy,Shows staging as heap/temporary table strategy and why indexes may be built after loading or cleaned up depending on the workflow.,heap for staging strat,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code/query punctuation.
R02R03-S007,S-055,IU-055,3b7514ccbe,R02,2136.853796995423,4452.062578158135,970.0,406.0,processed-in-r02r03-final-v001,medium-high,high for boundary; medium-high for exact code/query punctuation,Heap/staging schema and index strategy,Shows staging as heap/temporary table strategy and why indexes may be built after loading or cleaned up depending on the workflow.,build indexes after loading | heap for staging strat,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code/query punctuation.
R02R03-S008,S-056,IU-056,dd46dddf57,R02,4635.088277475374,4464.003616738168,952.0,316.0,processed-in-r02r03-final-v001,medium-high,high for boundary; medium-high for exact code/query punctuation,"Performance checklist: TableLock, batch size, indexes, triggers, log pressure","Explains throughput and database-load tradeoffs: batching, table locks, index/trigger costs, transaction log pressure and streaming large files.",watch trans log | manage indexes | stream in very large files | avoid triggers if you can,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code/query punctuation.
R02R03-S009,S-057,IU-057,cbe9bf6bc9,R02,1060.3632883978826,4477.731296176664,962.0,482.0,processed-in-r02r03-final-v001,medium-high,high for boundary; medium-high for exact code/query punctuation,Heap/staging schema and index strategy,Shows staging as heap/temporary table strategy and why indexes may be built after loading or cleaned up depending on the workflow.,build indexes after loading,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code/query punctuation.
R02R03-S010,S-063,IU-063,0e613e8032,R02,2102.2013353484544,4883.07827723499,986.0,418.0,processed-in-r02r03-final-v001,medium-high,high for boundary; medium-high for exact code/query punctuation,Heap/staging schema and index strategy,Shows staging as heap/temporary table strategy and why indexes may be built after loading or cleaned up depending on the workflow.,so can include index,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code/query punctuation.
