region_source_id,source_id,image_use_id,fileId_short,region,subregion,status,readability,cut_off,confidence,theme,notes
OPT01B-S001,S-025,IU-025,96ec1179ba,OPT01,OPT01B,verified-from-source-image,high,no,high,ValidateOnStart versus validation on first use,
OPT01A-S001,S-026,IU-026,2f6de5dee6,OPT01,OPT01A,verified-from-source-image,high,no,high,Named options validation,
OPT01A-S002,S-027,IU-027,ff4463da2e,OPT01,OPT01A,verified-from-source-image,high,no,high,Custom validation with predicates,
OPT01A-S003,S-028,IU-028,9a956e7a31,OPT01,OPT01A,verified-from-source-image,high,no,high,DataAnnotations registration and behavior,
OPT01B-S002,S-029,IU-029,b88cfcea8c,OPT01,OPT01B,verified-from-source-image,high,no,high,DataAnnotations options class,
OPT01B-S003,S-030,IU-030,0b967cc91e,OPT01,OPT01B,verified-from-source-image,high,no,high,Source-generated validation,
OPT02A-S001,S-001,IU-001,23cfbe2caa,OPT02,OPT02A,verified-from-source-image,high,no,high,Title,
OPT02A-S002,S-002,IU-002,8de67f5eb5,OPT02,OPT02A,verified-from-source-image,high,no,high,LoggingOptions conventional options class,"Screenshot is partly obscured in the lower-right, but the class name, section-name constant and LogLevel property are readable."
OPT02A-S003,S-003,IU-003,27b6851421,OPT02,OPT02A,verified-from-source-image,high,no,high,LogLevelOptions dictionary options class,
OPT02A-S004,S-004,IU-004,d4dadd8997,OPT02,OPT02A,verified-visible-partial-from-source-image,high,bottom-cropped,high-for-visible-code,Register LoggingOptions from configuration section,
OPT02A-S005,S-005,IU-005,33bae259ea,OPT02,OPT02A,verified-visible-partial-from-source-image,high,top/bottom-continuation,high-for-visible-part,FeatureOptions class first half,
OPT02A-S006,S-006,IU-006,cf540507ac,OPT02,OPT02A,verified-visible-partial-from-source-image,high,top-continuation,high-for-visible-code,FeatureOptions class second half,
OPT02B-S001,S-007,IU-007,566b6f6062,OPT02,OPT02B,verified-visible-partial-from-source-image,high,collapsed-code,medium-high,Named configuration options collapsed call,
OPT02B-S002,S-008,IU-008,6b34df0752,OPT02,OPT02B,verified-from-source-image,high,no,high,Named AddOptions registrations,
OPT02B-S003,S-009,IU-009,f24871ada4,OPT02,OPT02B,verified-from-source-image,high,no,high,Appsettings features skeleton,
OPT02B-S004,S-010,IU-010,4ab8b33fa9,OPT02,OPT02B,verified-from-source-image,high,no,high,TodoApi appsettings example,
OPT02B-S005,S-011,IU-011,1b93b2b883,OPT02,OPT02B,verified-from-source-image,high,no,high,Endpoint reads named options with IOptionsSnapshot,"Lower-right of screenshot is partly obscured, but endpoint structure and option names are readable."
OPT03A-S001,S-012,IU-012,3978f87e45,OPT03,OPT03A,verified-from-source-image,high,no,high,IOptionsSnapshot scoped view,
OPT03A-S002,S-013,IU-013,4253a1655b,OPT03,OPT03A,verified-from-source-image,high,no,high,IOptions singleton view,
OPT03A-S003,S-014,IU-014,e032b6b978,OPT03,OPT03A,verified-from-source-image,high,no,high,IOptionsMonitor live view and OnChange,
OPT03A-S004,S-015,IU-015,6113e4d2f4,OPT03,OPT03A,verified-visible-partial-from-source-image,high,top-continuation,high-for-visible-text,When to use IOptionsMonitor,
OPT03A-S005,S-016,IU-016,26e284e7bb,OPT03,OPT03A,verified-from-source-image,high,no,high,Copy monitor value to own field when needed,
OPT03A-S006,S-017,IU-017,542650bbeb,OPT03,OPT03A,verified-visible-partial-from-source-image,high,top-continuation,high-for-visible-code,Read current or cached options in work method,
OPT03B-S001,S-018,IU-018,355b227be0,OPT03,OPT03B,verified-from-source-image,high,no,high,Binder options: ErrorOnUnknownConfiguration and BindNonPublicProperties,
OPT03B-S002,S-019,IU-019,ced1fc23dc,OPT03,OPT03B,verified-from-source-image,high,no,high,Configure binder options,
OPT03B-S003,S-020,IU-020,861389dd17,OPT03,OPT03B,verified-from-source-image,high,no,high,Why named options,
OPT03B-S004,S-021,IU-021,6ae9f5cce7,OPT03,OPT03B,verified-from-source-image,high,no,high,Configure named options and retrieve by name,
OPT03B-S005,S-022,IU-022,86f9c56ef5,OPT03,OPT03B,verified-from-source-image,high,no,high,Configure/PostConfigure order mental model,
OPT03B-S006,S-023,IU-023,2cf4094ce1,OPT03,OPT03B,verified-from-source-image,high,no,high,PostConfigureAll,
OPT03B-S007,S-024,IU-024,5c2abc7f48,OPT03,OPT03B,verified-from-source-image,high,no,high,PostConfigure named options,
OPT04A-S001,S-031,IU-031,4aabd15a3e,OPT04,OPT04A,verified-from-source-image,high,no,high,Options Monitoring title,
OPT04A-S002,S-032,IU-032,9a5adc97bf,OPT04,OPT04A,verified-visible-partial-from-source-image,high,bottom-cropped-after-IOptionsMonitor-section,high-for-visible-text,Service lifetimes and options interfaces,
OPT04A-S003,S-033,IU-033,9fa2aaa942,OPT04,OPT04A,verified-from-source-image,high,no,high,Sensor monitoring flow diagram,
OPT04B-S001,S-034,IU-034,d3253050f2,OPT04,OPT04B,verified-from-source-image,high,no,high,SensorFactory creates sensor services,Right side partially obscured but main logic is readable.
OPT04B-S002,S-035,IU-035,dbfbf62e2a,OPT04,OPT04B,verified-from-source-image,high,no,high,FakeSensorService gradual temperature changes,
OPT04B-S003,S-036,IU-036,f5cd523fd2,OPT04,OPT04B,verified-visible-partial-from-source-image,high,top/bottom-cropped,high-for-visible-code,Register sensor monitor service and validated options,
OPT04B-S004,S-037,IU-037,f869f347ba,OPT04,OPT04B,verified-from-source-image,high,no,high,SensorMonitorService constructor subscribes to OnChange,"Screenshot bottom/right are partially obscured, but dependency fields and OnChange subscription are readable."
