region,source_id,image_use,file_sha,x,y,width,height,status,region_summary
R01,S-010,IU-010,6c7f3a4c90,59.26432670922213,199.76884221250566,813.0,337.0,verified-semantic-transcript,"left road: ToString, operator overloads and equality entry examples"
R01,S-011,IU-011,7685f51354,83.77356853343326,560.4459052007869,631.0,482.0,verified-semantic-transcript,"left road: ToString, operator overloads and equality entry examples"
R01,S-012,IU-012,05d53b519f,122.43095268578463,1050.935407153912,692.0,336.0,verified-semantic-transcript,"left road: ToString, operator overloads and equality entry examples"
R02,S-001,IU-001,946008b7d7,1290.0872820214,371.4676870692274,618.0,280.0,verified-semantic-transcript,"core road: equality, Equals(object?), IEquatable<T>.Equals and related implementation flow"
R02,S-002,IU-002,ca63c7ea65,1254.7964730528074,661.8265515933745,829.0,482.0,verified-semantic-transcript,"core road: equality, Equals(object?), IEquatable<T>.Equals and related implementation flow"
R02,S-003,IU-003,e559c3014a,1203.637283689937,1453.0615946480682,804.0,317.0,verified-semantic-transcript,"core road: equality, Equals(object?), IEquatable<T>.Equals and related implementation flow"
R02,S-004,IU-004,1f821ddb14,1194.061489123176,1783.5464246374174,828.0,473.0,verified-semantic-transcript,"core road: equality, Equals(object?), IEquatable<T>.Equals and related implementation flow"
R02,S-005,IU-005,eb77e2929c,1226.8617894926876,2429.8678037107156,693.0,482.0,verified-semantic-transcript,"core road: equality, Equals(object?), IEquatable<T>.Equals and related implementation flow"
R02,S-008,IU-008,76b65f38e6,1211.920689336741,3434.664564288689,561.0,333.0,verified-semantic-transcript,"core road: equality, Equals(object?), IEquatable<T>.Equals and related implementation flow"
R02,S-009,IU-009,789b6afcbe,1197.3448947699794,3761.770643390252,595.0,280.0,verified-semantic-transcript,"core road: equality, Equals(object?), IEquatable<T>.Equals and related implementation flow"
R03,S-006,IU-006,657ddce789,2430.0388684643754,348.25042089387625,706.0,497.0,verified-semantic-transcript,middle-right road: GetHashCode contract and hash-based collection implications
R03,S-007,IU-007,588fda5919,2425.717950912484,860.9776936211483,603.0,482.0,verified-semantic-transcript,middle-right road: GetHashCode contract and hash-based collection implications
R04,S-013,IU-013,e64a6e5e80,3684.426537526859,290.317487627246,819.0,482.0,verified-semantic-transcript,right road: GetEqualityComponents pattern and composed value equality
R04,S-014,IU-014,5960cccaf0,3589.267549746314,933.4274957831512,995.0,383.0,verified-semantic-transcript,right road: GetEqualityComponents pattern and composed value equality
R04,S-015,IU-015,7878812659,3593.2499822361233,1417.104579116487,937.0,482.0,verified-semantic-transcript,right road: GetEqualityComponents pattern and composed value equality
R04,S-016,IU-016,ee96bb956d,3638.2031851697266,1988.9564535739482,716.0,482.0,verified-semantic-transcript,right road: GetEqualityComponents pattern and composed value equality
R04,S-017,IU-017,700313f176,3601.9662151488365,2549.7883384960805,697.0,482.0,verified-semantic-transcript,right road: GetEqualityComponents pattern and composed value equality
R04,S-018,IU-018,95dd1f21e9,3505.4643072666795,3095.9445884960805,877.0,334.0,verified-semantic-transcript,right road: GetEqualityComponents pattern and composed value equality
