source_id,image_use_id,fileId,fileId_short,image_file,x,y,width,height,nearest_labels_for_search_only,coverage_status,current_region_decision,decision_is_final,must_recheck_before_region_close,decision_basis,review_notes,stage0_group_key
S-001,IU-001,946177ff2792c9ea96f6de3ed0b56e6c40936f4f,946177ff27,S-001__946177ff27.png,10298.814,1561.09,818.0,482.0,"ctors wont run when ef materializes entities? | entities shit | what to avoid in ctors, | would ef use parameterless ctor by default? | Attach | 1 if not default id - marks as unchanged | 2 if need to modify - attach then modify or mark modified excplicitly | 3 if adding new entity with detached in some prop - need to attach that detached | to avoid adding existing but detached | 4 when updating entity with detached - detached will be modified need to override savexchanges or",processed-in-efc-r02-v001,EFC-R02,yes-for-efc-r02-stage1,no-for-stage1-semantic-transcript,Included in EF Core General Stage1 EFC-R02 transcript; source-level semantic transcript exists; exact code punctuation remains in preserved PNG.,Stage1 semantic transcript complete for this source. Use PNG for exact code punctuation.,EFC-R02-entities-constructors-attach-shadow-props
S-002,IU-002,e64cf873106e91b8131fc21f7c82b43755606ed9,e64cf87310,S-002__e64cf87310.png,4060.447,1764.036,1020.0,482.0,"reduce cpu and everything for reads | identity map pattern | FROM TRAKING | ABOUT CPU/MEMORY USAGE | so rep shit | partial init antipatter | can do partial inits only | for projections for read, | write need encapsulation, | and invariants",processed-in-efc-r01-v001,EFC-R01,yes-for-efc-r01-stage1,no-for-stage1-semantic-transcript,Included in EF Core General Stage1 EFC-R01 transcript; source-level semantic transcript exists; exact code punctuation remains in preserved PNG.,Stage1 semantic transcript complete for this source. Use PNG for exact code punctuation.,EFC-R01-repository-reads-tracking-identity-map
S-003,IU-003,62853cad31d530ef58e80a97804cb298b795a3c5,62853cad31,S-003__62853cad31.png,14368.322,1821.009,766.0,261.0,"to create acc with same email | from sit when someone make 2 parallel requests | how to save yourself | some onmodel creat hshit | owned isrequired | navigation | hascheck constraint | alternate key sheet | need to add somewhere, to some general dbcontext mapping sheet mb | coposite key sheet",processed-in-efc-r03-v001,EFC-R03,yes-for-efc-r03-stage1,no-for-stage1-semantic-transcript,Included in EF Core General Stage1 EFC-R03 transcript; source-level semantic transcript exists; exact code punctuation remains in preserved PNG.,Stage1 semantic transcript complete for this source. Use PNG for exact code punctuation.,EFC-R03-model-configuration-relationships-keys
S-004,IU-004,0dc36252297a06db0078a475ab4864173854cb77,0dc3625229,S-004__0dc3625229.png,22437.901,1887.015,847.0,422.0,"isrowversion isconcurrencytoken | concurrency in db  commands | so i have some scenarios when i may need some | transaction or when i may think that i need them | reading your own uncommited changes | 1 when i query something from db, look at it and chose to change it | but at the same time i may have another request that | changes the same thing | dont need manual transaction, can configure rowversion or | isconcurencytoken and ef will throw exceptions",processed-in-efc-r04-v001,EFC-R04,yes-for-efc-r04-stage2,no-for-stage2-semantic-transcript,Included in EF Core General Stage2 EFC-R04 transcript; source-level semantic transcript exists; exact code punctuation remains in preserved PNG.,Stage2 semantic transcript complete for this source. Use PNG for exact code punctuation.,EFC-R04-transactions-concurrency-execution-strategy
S-005,IU-005,af19e8920a19689612c61ac88e733822736f2419,af19e8920a,S-005__af19e8920a.png,5713.487,1928.146,822.0,366.0,"identity map pattern | can do partial inits only | partial init antipatter | for projections for read, | write need encapsulation, | and invariants | also cant return the domain model | with partial init even for reads, because | if will lie about yourself being valid domain model | with all data present",processed-in-efc-r01-v001,EFC-R01,yes-for-efc-r01-stage1,no-for-stage1-semantic-transcript,Included in EF Core General Stage1 EFC-R01 transcript; source-level semantic transcript exists; exact code punctuation remains in preserved PNG.,Stage1 semantic transcript complete for this source. Use PNG for exact code punctuation.,EFC-R01-repository-reads-tracking-identity-map
S-006,IU-006,7e221f768884ec140c888dd2a0743497d3c6ec58,7e221f7688,S-006__7e221f7688.png,15933.099,1997.074,740.0,482.0,"owned isrequired | navigation | need to add somewhere, to some general dbcontext mapping sheet mb | hascheck constraint | to create acc with same email | efcore can materialise objecteven if all of its columns are null | the fact that you have ? for  your fullname  in client can be not enough | so its better to do the shit excplicitly | from sit when someone make 2 parallel requests | how to save yourself",processed-in-efc-r03-v001,EFC-R03,yes-for-efc-r03-stage1,no-for-stage1-semantic-transcript,Included in EF Core General Stage1 EFC-R03 transcript; source-level semantic transcript exists; exact code punctuation remains in preserved PNG.,Stage1 semantic transcript complete for this source. Use PNG for exact code punctuation.,EFC-R03-model-configuration-relationships-keys
S-007,IU-007,55ea344509b1cac8eab294a42109f6936a6e8b2e,55ea344509,S-007__55ea344509.png,17274.453,2033.746,726.0,192.0,"need to add somewhere, to some general dbcontext mapping sheet mb | hascheck constraint | owned isrequired | navigation | remove  warnings | dbcontext about transactions strategies | dbset | dont need manual transaction, can configure rowversion or | changes the same thing | isconcurencytoken and ef will throw exceptions",processed-in-efc-r03-v001,EFC-R03,yes-for-efc-r03-stage1,no-for-stage1-semantic-transcript,Included in EF Core General Stage1 EFC-R03 transcript; source-level semantic transcript exists; exact code punctuation remains in preserved PNG.,Stage1 semantic transcript complete for this source. Use PNG for exact code punctuation.,EFC-R03-model-configuration-relationships-keys
S-008,IU-008,0f7c82eb0bec02dfc86af922257a53526a4ccf7c,0f7c82eb0b,S-008__0f7c82eb0b.png,14205.169,2119.656,1027.0,295.0,"to create acc with same email | from sit when someone make 2 parallel requests | how to save yourself | owned isrequired | some onmodel creat hshit | alternate key sheet | navigation | coposite key sheet | need to add somewhere, to some general dbcontext mapping sheet mb | efcore can materialise objecteven if all of its columns are null",processed-in-efc-r03-v001,EFC-R03,yes-for-efc-r03-stage1,no-for-stage1-semantic-transcript,Included in EF Core General Stage1 EFC-R03 transcript; source-level semantic transcript exists; exact code punctuation remains in preserved PNG.,Stage1 semantic transcript complete for this source. Use PNG for exact code punctuation.,EFC-R03-model-configuration-relationships-keys
S-009,IU-009,1256f47477dd6f49f7961a168e4bc32fa7affded,1256f47477,S-009__1256f47477.png,4060.767,2275.641,1006.0,215.0,"reduce cpu and everything for reads | identity map pattern | FROM TRAKING | with all data present | if will lie about yourself being valid domain model | ABOUT CPU/MEMORY USAGE | with partial init even for reads, because | also cant return the domain model | and invariants | write need encapsulation,",processed-in-efc-r01-v001,EFC-R01,yes-for-efc-r01-stage1,no-for-stage1-semantic-transcript,Included in EF Core General Stage1 EFC-R01 transcript; source-level semantic transcript exists; exact code punctuation remains in preserved PNG.,Stage1 semantic transcript complete for this source. Use PNG for exact code punctuation.,EFC-R01-repository-reads-tracking-identity-map
S-010,IU-010,1e229933ef928389bc29b7e08afe9972e834b1ff,1e229933ef,S-010__1e229933ef.png,17232.257,2280.497,1000.0,465.0,"need to add somewhere, to some general dbcontext mapping sheet mb | hascheck constraint | remove  warnings | dbset | owned isrequired | one savechanges succeds another fails and we get inconsistency | queried entity and each may call savechanges | 3 when i have some possible nesting of methods that mutate | need to wrap everything in one transaction with any isolatoin level but usually with default | navigation",processed-in-efc-r03-v001,EFC-R03,yes-for-efc-r03-stage1,no-for-stage1-semantic-transcript,Included in EF Core General Stage1 EFC-R03 transcript; source-level semantic transcript exists; exact code punctuation remains in preserved PNG.,Stage1 semantic transcript complete for this source. Use PNG for exact code punctuation.,EFC-R03-model-configuration-relationships-keys
S-011,IU-011,8a232da43012177f003bd2cac088142de3549bcd,8a232da430,S-011__8a232da430.png,7542.419,2284.89,990.0,226.0,"shadow prop usage | with all data present | if will lie about yourself being valid domain model | with partial init even for reads, because | 1 if not default id - marks as unchanged | also cant return the domain model | 2 if need to modify - attach then modify or mark modified excplicitly | 3 if adding new entity with detached in some prop - need to attach that detached | and invariants | to avoid adding existing but detached",processed-in-efc-r02-v001,EFC-R02,yes-for-efc-r02-stage1,no-for-stage1-semantic-transcript,Included in EF Core General Stage1 EFC-R02 transcript; source-level semantic transcript exists; exact code punctuation remains in preserved PNG.,Stage1 semantic transcript complete for this source. Use PNG for exact code punctuation.,EFC-R02-entities-constructors-attach-shadow-props
S-012,IU-012,27e0fafb7d1dd39ad64edc5438ff329d5a637ded,27e0fafb7d,S-012__27e0fafb7d.png,5666.154,2335.702,890.0,302.0,"with all data present | identity map pattern | if will lie about yourself being valid domain model | with partial init even for reads, because | also cant return the domain model | and invariants | write need encapsulation, | for projections for read, | can do partial inits only | partial init antipatter",processed-in-efc-r01-v001,EFC-R01,yes-for-efc-r01-stage1,no-for-stage1-semantic-transcript,Included in EF Core General Stage1 EFC-R01 transcript; source-level semantic transcript exists; exact code punctuation remains in preserved PNG.,Stage1 semantic transcript complete for this source. Use PNG for exact code punctuation.,EFC-R01-repository-reads-tracking-identity-map
